literature_id,title,authors,year,publication_type,journal_or_source,source_database,doi,url,raw_file_path,screening_status,full_text_status,eligibility_decision,exclusion_reason,citation_leads_identified,notes
A01,"An Insurer's Perspective on Error and Loss in Pathology",Troxel DB,2005,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/16196510/,,eligible,pending_retrieval,included,,,"378 claims 1998-2003; 57% breast/melanoma/Pap/gyn; 63% failure to diagnose cancer"
A02,"Diagnostic Pitfalls in Surgical Pathology Uncovered by a Review of Malpractice Claims",Troxel DB,2000,journal_article,International Journal of Surgical Pathology,PubMed,,https://journals.sagepub.com/doi/10.1177/106689690000800311,,eligible,pending_retrieval,included,,,"53 claims; lymphoma melanoma breast FNA cervical Pap prostate biopsies"
A03,"Trends in Pathology Malpractice Claims",Troxel DB,2012,journal_article,American Journal of Surgical Pathology,PubMed,,https://journals.lww.com/ajsp/abstract/2012/01000/trends_in_pathology_malpractice_claims.1.aspx,,eligible,pending_retrieval,included,,,"276 claims 2004-2010; melanoma breast system errors gyn cytology FNA = 49%"
A04,"Survey of Medical Malpractice Cases and Settlements with Pathology or Laboratory Standard of Care Issues",Troxel DB,2019,journal_article,Seminars in Diagnostic Pathology,PubMed,,https://www.sciencedirect.com/science/article/abs/pii/S0740257019300644,,eligible,pending_retrieval,included,,,"Diagnostic errors 87% of paid claims; top: melanoma breast prostate Pap"
A05,"The Medicolegal Aspect of Error in Pathology: A Search of Jury Verdicts and Settlements","Kornstein MJ, Byrne SP",2007,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/17425394/,,eligible,pending_retrieval,included,,,"171 legal cases 1988-2005; nearly half surgical pathology; missed melanoma most common"
A06,"Clinical Impact and Frequency of Anatomic Pathology Errors in Cancer Diagnoses",Raab SS et al.,2005,journal_article,Cancer (Wiley),PubMed,,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncr.21431,,eligible,pending_retrieval,included,,,"12% error rate in cancer diagnosis; 5.3% moderate or marked clinical impact"
A07,"Patient Safety in Anatomic Pathology: Measuring Discrepancy Frequencies and Causes",Raab SS et al.,2005,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://meridian.allenpress.com/aplm/article/129/4/459/459136,,eligible,pending_retrieval,included,,,"CAP Q-Probes; mean discrepancy frequency 6.7% in secondary review"
A08,"Changes in Rates of Autopsy-Detected Diagnostic Errors Over Time: A Systematic Review","Shojania KG, Burton EC, McDonald KM, Goldman L",2003,systematic_review,JAMA,PubMed,,https://pubmed.ncbi.nlm.nih.gov/12783916/,,eligible,pending_retrieval,included,,,"53 autopsy series 1966-2002; median major error rate 23.5%; Class I 9.0%"
A09,"Amended Reports in Surgical Pathology and Implications for Diagnostic Error Detection","Nakhleh RE, Zarbo RJ",1998,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/9648896/,,eligible,pending_retrieval,included,,,"CAP Q-Probes; 3147 amended reports from 1.67M specimens; mean 1.9/1000"
A10,"Measuring Errors in Surgical Pathology in Real-Life Practice",Renshaw AA,2007,journal_article,American Journal of Clinical Pathology,PubMed,,https://pubmed.ncbi.nlm.nih.gov/17145620/,,eligible,pending_retrieval,included,,,"Major error rates 1.5-5.7% consults; 0.26-1.2% in-house review"
A11,"Review of Diagnostic Error in Anatomical Pathology and the Role and Value of Second Opinions in Error Prevention",Kuijpers CC et al.,2018,review,Journal of Clinical Pathology,PubMed,,https://pubmed.ncbi.nlm.nih.gov/30068638/,,eligible,pending_retrieval,included,,,"Second opinion detects major discrepancies in 6.2%; MDT 8x higher detection"
A12,"Technical Error Prevalence in Pathology Tissue Testing: Systematic Review and Meta-Analysis",,2025,systematic_review,PMC,PubMed,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12887483/,,eligible,pending_retrieval,included,,,"Pre-analytic 16.71/1000; actively identified 40.17/1000; reported 8-fold lower"
A13,"Causes of Misdiagnosis by Thyroid Fine-Needle Aspiration Cytology (FNAC): A Systematic Review",Cazzaniga S et al.,2019,systematic_review,Diagnostics (PMC),PubMed,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6942345/,,eligible,pending_retrieval,included,,,"Thyroid FNAC misdiagnosis; sampling errors and interpretive variability"
A14,"Clinical vs. Autopsy Diagnostic Discrepancies in the ICU: A Systematic Review and Meta-Analysis",Carlotti et al.,2024,systematic_review,Intensive Care Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/39287650/,,eligible,pending_retrieval,included,,,"42 studies; Class I discrepancy 6.5%; major missed diagnoses 19.3%"
A15,"Forensic Evaluation of Pathology Malpractice Claims",,2024,journal_article,Forensic Science Medicine and Pathology,PubMed,,https://link.springer.com/article/10.1007/s12024-024-00935-z,,eligible,pending_retrieval,included,,,"Forensic medical evaluation frameworks for pathology malpractice claims"
B01,"Indian Medical Association v. V.P. Shantha, AIR 1995 SC 550",,1995,court_decision,Supreme Court of India,Indian Kanoon,,https://www.jusscriptumlaw.com/post/indian-medical-association-v-s-v-p-shanta-and-others-1996-air-550,,eligible,pending_retrieval,included,,,Medical services under CPA 1986; patients paying fees are consumers
